name,positions,rating,nationality,club,league
M. Hairston,RM,58,United States,Colorado Rapids,Major League Soccer
M. Halaimia,RB; RWB; LB,67,Algeria,Beerschot,Jupiler Pro League
M. Halaïmia,RB; RWB; LB,67,Algeria,K Beerschot VA,Jupiler Pro League
M. Hall,CB,52,England,Ross County FC,Premiership
M. Hallberg,CM; CDM; RM,64,Sweden,Udinese Calcio,Serie A
M. Halliday,RB,50,United States,Orlando City,Major League Soccer
M. Halstead,GK,60,England,Shrewsbury Town,League Two
M. Halstenberg,LB; LM; CDM,64,Germany,FC St. Pauli,2. Bundesliga
M. Halsti,CM; CB,66,Finland,Malmö FF,Allsvenskan
M. Halsøy,ST,50,Norway,FK Bodø/Glimt,Eliteserien
M. Halvadzic,ST,54,Sweden,IFK Norrköping,Allsvenskan
M. Halvadžić,RM,56,Sweden,Norrköping,Allsvenskan
M. Hamada,CB,62,Japan,Avispa Fukuoka,J-League
M. Hamdaoui,ST,61,Netherlands,FC Dordrecht,Eredivisie
M. Hamdy,CB,68,Egypt,,
M. Hamilton,ST,55,Republic of Ireland,Wigan Athletic,League One
M. Hamoud,LB; RB; CB,66,Norway,Strømsgodset IF,Eliteserien
M. Hamrol,GK,50,Germany,1. FC Köln,Bundesliga
M. Hamzi,RM,57,Saudi Arabia,Al Faisaly,Pro League
M. Hamšik,CAM,83,Slovakia,Napoli,Serie A
M. Hamšík,CM,87,Slovakia,Napoli,Serie A
M. Hancock,CB,56,England,Aberdeen,Premiership
M. Hancox,LB; RB,62,England,Birmingham City,Championship
M. Hannesbo,LM; LWB,52,Denmark,Aalborg BK,Superliga
M. Hannigan,RB; RM,48,Republic of Ireland,St. Patrick's Athletic,Premier Division
M. Hannon,CM,49,Republic of Ireland,Sligo Rovers,Premier Division
M. Hanousek,LB; LM,70,Czech Republic,Sparta Praha,Fortuna Liga
M. Hanraths,CB,60,Germany,Schalke 04,2. Bundesliga
M. Hanratty,RM,50,Republic of Ireland,Dundalk,Premier Division
M. Hansen,GK,60,Denmark,ADO Den Haag,Eredivisie
M. Hansson,CM,59,Sweden,Gefle IF,Allsvenskan
M. Hany,RB; CB; RM,68,Egypt,,
M. Harewood,ST,61,England,Hartlepool United,League Two
M. Harness,RW,48,England,Burton Albion,League Two
M. Harnik,RM; RW,76,Austria,VfB Stuttgart,Bundesliga
M. Harrer,LW; ST,59,Austria,FK Austria Wien,Bundesliga
M. Harriman,RB; RM,61,Republic of Ireland,Queens Park Rangers,Premier League
M. Harrington,LB; RB,63,United States,Portland Timbers,Major League Soccer
M. Harris,CAM; RM,54,Wales,Cardiff City,Championship
M. Harrold,ST,60,England,Crawley Town,League One
M. Harsman,GK,49,Germany,SV Meppen,3. Liga
M. Hart,CM,51,Norway,Sarpsborg 08 FF,Eliteserien
M. Hartel,CAM,59,Germany,1. FC Köln,Bundesliga
M. Hartl,CAM; CF; RM,67,Austria,spusu SKN St. Pölten,Bundesliga
M. Hartmann,ST; RM,66,Germany,FC Ingolstadt 04,2. Bundesliga
M. Harzan,CM,57,Saudi Arabia,Ohod Club,Pro League
M. Hasah,RB,63,Saudi Arabia,Al Taawoun,Pro League
M. Hascien,RB; RM,71,Chile,CD Everton de Viña del Mar,Primera Division
M. Hasebe,CDM; CM; RB; RM,74,Japan,Eintracht Frankfurt,Bundesliga
M. Hassan,CAM; LM,67,Egypt,Anderlecht,Jupiler Pro League
M. Hassen,GK,65,France,OGC Nice,Ligue 1
M. Hatch,LB; LM,55,Australia,Central Coast Mariners,A-League
M. Haukås,LM; RM; CM,62,Norway,FK Haugesund,Eliteserien
M. Hauptmann,RM; LM; CAM,55,Germany,SG Dynamo Dresden,2. Bundesliga
M. Hauptmeijer,GK,60,Netherlands,PEC Zwolle,Eredivisie
M. Hausjell,RM,56,Austria,Admira,Bundesliga
M. Hautbois,GK,61,France,Stade Lavallois Mayenne FC,Ligue 2
M. Havekotte,GK,61,Netherlands,Excelsior,Eredivisie
M. Havel,LB,51,Czech Republic,FC Viktoria Plzeň,Fortuna Liga
M. Havenaar,ST,70,Japan,Córdoba CF,La Liga
M. Hawsawi,ST,51,Saudi Arabia,Al Raed,Pro League
M. Hayashi,GK,53,Japan,Gamba Osaka,J-League
M. Haygarth,RW; CAM; ST,58,England,Brentford,Championship
M. Hazazi,RB; RM,58,Saudi Arabia,Al Taawoun,Pro League
M. Hazeldine,ST; RM; LM,51,England,Accrington Stanley,League Two
M. Haïdara,LB,69,France,Newcastle United,Premier League
M. Hašek,CM; RM; LM; CDM,68,Czech Republic,Sparta Praha,Fortuna Liga
M. Hebo,CM,63,Denmark,Lyngby,Superliga
M. Hebo Rasmussen,CM,44,Denmark,FC Nordsjælland,Superliga
M. Hector,CB; CDM; RB,64,England,Reading,Championship
M. Hedegaard,CM,51,Denmark,SønderjyskE,Superliga
M. Hedges,CB,69,United States,FC Dallas,Major League Soccer
M. Heerkes,CM,62,Netherlands,Heracles Almelo,Eredivisie
M. Hefele,CB,67,Germany,Huddersfield Town,Championship
M. Hegaard,CB,51,Denmark,FC Helsingør,Superliga
M. Hehne,CB; CDM,60,Germany,FSV Zwickau,3. Liga
M. Heider,ST; RM,61,Germany,VfL Osnabrück,3. Liga
M. Heiland,CM; CDM; CAM,54,Germany,Eintracht Braunschweig,2. Bundesliga
M. Heinloth,RB,63,Germany,SC Paderborn 07,Bundesliga
M. Heinrich,LM,57,Germany,TSV 1860 München,2. Bundesliga
M. Helal,CAM,58,Egypt,Lierse SK,Jupiler Pro League
M. Helik,RB; CB,52,Poland,Ruch Chorzów,Ekstraklasa
M. Helle,ST,60,Norway,Sandnes Ulf,Eliteserien
M. Heller,LM; RM,65,Germany,SV Darmstadt 98,2. Bundesliga
M. Helm,CAM; CM,59,England,Manchester United,Premier League
M. Hemmen,ST,65,Netherlands,SC Cambuur,Eredivisie
M. Hende,LW; RM,57,Denmark,FC Vestsjælland,Superliga
M. Henn,CB; RB,65,Germany,Eintracht Braunschweig,2. Bundesliga
M. Henriksen,CM; CAM,70,Norway,AZ Alkmaar,Eredivisie
M. Henry,ST,50,England,Bolton Wanderers,League One
M. Henvey,ST,55,Scotland,Dundee,Premiership
M. Heredia,GK,65,Peru,Carlos Manucci,Primera Division
M. Hermansen,GK,51,Denmark,Brøndby,Superliga
M. Hernandez,LB; CB,59,United States,FC Dallas,Major League Soccer
M. Hernández,GK,65,Mexico,Tiburones Rojos de Veracruz,Liga MX
M. Herrera,CB,69,Mexico,Pachuca,Liga MX
M. Herrmann,ST,61,Sweden,FC Helsingør,Superliga
M. Herzog,GK,61,Switzerland,FC St. Gallen 1879,Super League
M. Heus,GK,56,Netherlands,FC Utrecht,Eredivisie
M. Hewelt,GK,57,Poland,Everton,Premier League
M. Heyer,CB; CDM; CM,63,Germany,VfL Sportfreunde Lotte,3. Liga
M. Heylen,CB,66,Belgium,RSC Anderlecht,Jupiler Pro League
M. Heča,GK,56,Czech Republic,AC Sparta Praha,Fortuna Liga
M. Hidaka,CM,53,Japan,Vissel Kobe,J-League
M. Hidalgo,RB; RM,61,Chile,CD Cobreloa,Primera Division
M. Hiegl,GK,50,Germany,SV Sandhausen,2. Bundesliga
M. Higashiguchi,GK,73,Japan,Gamba Osaka,J-League
M. Higdon,ST,67,England,Sheffield United,League One
M. Hildebrandt,GK,65,United States,Atlanta United,Major League Soccer
M. Hilgers,CB,57,Netherlands,FC Twente,Eredivisie
M. Hill,LB; CB; RB,61,England,Tranmere Rovers,League Two
M. Hiller,GK,61,Germany,TSV 1860 München,3. Liga
M. Hilßner,CF; CAM; LM,57,Germany,SV Werder Bremen,Bundesliga
M. Hinckson-Mars,ST,51,England,Barnet,League Two
M. Hingerl,CM; CDM,57,Germany,Sport-Club Freiburg,2. Bundesliga
M. Hinnenkamp,CB,53,Germany,Meppen,3. Liga
M. Hinteregger,CB,71,Austria,FC Red Bull Salzburg,Bundesliga
M. Hippe,CB,61,Germany,Borussia Dortmund II,3. Liga
M. Hippolyte,LM; ST,60,England,Scunthorpe United,League Two
M. Hirsch,CDM,56,Germany,Hannover 96,Bundesliga
M. Hischier,CM; CDM,54,Switzerland,FC Thun,Super League
M. Hitz,GK,73,Switzerland,FC Augsburg,Bundesliga
M. Hjorth,ST,52,Norway,Stabæk Fotball,Eliteserien
M. Hjulmand,CM,58,Denmark,FC Flyeralarm Admira,Bundesliga
M. Hlavatý,CM; CAM; CDM,63,Czech Republic,FC Viktoria Plzeň,Fortuna Liga
M. Hober,CAM; CM,57,Germany,DSC Arminia Bielefeld,2. Bundesliga
M. Hoedemakers,CM,59,Netherlands,AZ,Eredivisie
M. Hoffmann,CB,66,Germany,Chemnitzer FC,3. Liga
M. Hoffmeier,CAM; LM,58,Germany,SC Preußen Münster,3. Liga
M. Hofmann,CB,54,Austria,SK Rapid Wien,Bundesliga
M. Hofrath,LB; LM,65,Germany,SSV Jahn Regensburg,2. Bundesliga
M. Hohnstedt,LB,63,Germany,VfL Sportfreunde Lotte,3. Liga
M. Holcbecher,CM,55,Switzerland,Servette,Super League
M. Holek,CDM; CM,65,Czech Republic,,
M. Holgate,CM; CB,47,England,Barnsley,League One
M. Holgersson,CB; RB,69,Sweden,Aalborg BK,Superliga
M. Hollingsworth,ST,54,United States,Columbus Crew,Major League Soccer
M. Holm,RB,50,Denmark,AC Horsens,Superliga
M. Holmgren Pedersen,RB; RM,60,Norway,Molde,Eliteserien
M. Holness,CB,59,England,Tranmere Rovers,League Two
M. Holt,CB,52,Norway,Sandefjord,Eliteserien
M. Holz,CM; CAM; RM,63,Germany,Türkgücü-Ataspor,3. Liga
M. Holzer,ST,51,Austria,Wolfsberger AC,Bundesliga
M. Holzmann,LB; LM; RM,58,Austria,spusu SKN St. Pölten,Bundesliga
M. Holíček,LM; CAM,54,Slovakia,Crewe Alexandra,League Two
M. Hongla,CB; CDM,60,Cameroon,Granada CF,La Liga
M. Honsak,LB; LM; RB,57,Austria,SV Ried,Bundesliga
M. Hoppe,ST,61,United States,Schalke 04,Bundesliga
M. Hornig,CB,65,Germany,DSC Arminia Bielefeld,2. Bundesliga
M. Hornschuh,RB; CB,63,Germany,Borussia Dortmund,Bundesliga
M. Horvat,CDM,59,Croatia,Hartberg,Bundesliga
M. Hoseth,CM,66,Norway,Stabæk Fotball,Eliteserien
M. Hosoya,ST,58,Japan,Kashiwa Reysol,J-League
M. Hossain,CDM; CM,58,India,,
M. Hosseini,CB,61,Iran,Trabzonspor,Super Lig
M. Hostados,CAM; CM,71,Chile,Colo-Colo,Primera Division
M. Howard,GK,63,England,Sheffield United,League One
M. Howarth,CM,54,England,Burnley,Premier League
M. Hoxha,CAM,55,Belgium,KV Kortrijk,Jupiler Pro League
M. Hoyos,LM; RM,67,Argentina,Barcelona Guayaquil,Liga Pro
M. Hołownia,LB; LM,52,Poland,Legia Warszawa,Ekstraklasa
M. Huamán,RM; RB,58,Peru,Sport Huancayo,Primera Division
M. Huard,LB,60,France,AC Ajaccio,Ligue 2
M. Huber,CB; RB; CDM,59,Austria,spusu SKN St. Pölten,Bundesliga
M. Hubínek,CDM; CM,59,Czech Republic,Nieciecza,Ekstraklasa
M. Hudson,CB,69,England,Cardiff City,Championship
M. Hughes,RW; ST,48,England,Fleetwood Town,League One
M. Hugosson,GK,62,Sweden,IFK Göteborg,Allsvenskan
M. Hummels,CB,86,Germany,Borussia Dortmund,Bundesliga
M. Hummervoll,ST,52,Norway,Viking FK,Eliteserien
M. Humpenöder,GK,50,Germany,FC Würzburger Kickers,3. Liga
M. Hundley,LW,54,United States,Colorado Rapids,Major League Soccer
M. Hunt,CB,55,England,Carlisle United,League Two
M. Hurais,GK,50,Saudi Arabia,Al Batin,Pro League
M. Hurst,GK,50,Scotland,St. Johnstone FC,Premiership
M. Hurtado,RB; RM,62,Bolivia,,
M. Husain,CB,68,Bahrain,Al Nassr,Pro League
M. Huskovic,ST; CAM,55,Austria,Austria Wien,Bundesliga
M. Hussein,ST,64,Iraq,Al Khaleej,Pro League
M. Hutchison,CDM,50,Scotland,Waterford United,Premier Division
M. Hvilsom,ST; CAM; LM,63,Denmark,Hobro IK,Superliga
M. Hybš,LB,70,Czech Republic,FC Viktoria Plzeň,Fortuna Liga
M. Hyllegaard,ST,57,Denmark,OB,Superliga
M. Häuser,CAM,54,Denmark,Brøndby,Superliga
M. Håkansson,LM; ST; RM,62,Sweden,Mjällby AIF,Allsvenskan
M. Höcher,LW,65,Netherlands,Roda JC Kerkrade,Eredivisie
M. Höger,CDM; RB; CM,76,Germany,FC Schalke 04,Bundesliga
M. Høibråten,CB; LB,63,Norway,Strømsgodset IF,Eliteserien
M. Højholt,CM,50,Denmark,AaB,Superliga
M. Høyland,CDM; CM,62,Norway,Stabæk,Eliteserien
M. Iajour,ST; LM; CF,70,Morocco,Damac FC,Pro League
M. Ibacache,LB,54,Chile,CD Everton de Viña del Mar,Primera Division
M. Ibarra,LM; CAM,65,United States,,
M. Ibañez,ST,54,Chile,Deportivo Ñublense,Primera Division
M. Ibenfeldt,CB,55,Denmark,Southend United,League Two
M. Ibrahim,CAM; CF; RW,66,Egypt,,
M. Ibrahimi,LW; CAM; RW,59,Germany,RB Leipzig,Bundesliga
M. Ibrahimoglu,CM,60,Austria,Rapid Vienna,Bundesliga
M. Ibáñez,GK,61,Argentina,Club Atlético Lanús,Liga Profesional
M. Icardi,ST,76,Argentina,Inter,Serie A
M. Ichimaru,CM,49,Japan,Gamba Osaka,J-League
M. Iddriss,CAM; CM,62,Ghana,Moreirense,Liga Portugal
M. Idrissou,ST; CF; LW; LM,72,Cameroon,,
M. Idzik,ST,52,Poland,Śląsk Wrocław,Ekstraklasa
M. Ierardi,RB,55,Italy,Genoa,Serie A
M. Ifill,LM,54,England,Brighton & Hove Albion,Premier League
M. Ignatov,CAM,64,Russia,Spartak Moskva,Premier League
M. Igonen,GK,56,Estonia,Lillestrøm,Eliteserien
M. Ihattaren,CAM; LW,63,Netherlands,PSV,Eredivisie
M. Ihiekwe,CB; RB,55,England,Tranmere Rovers,League Two
M. Iida,CB,65,Japan,Matsumoto Yamaga FC,J-League
M. Ikeda,RW; RM; CM,61,Japan,Shonan Bellmare,J-League
M. Ilaimaharitra,CDM; LB,60,France,FC Sochaux-Montbéliard,Ligue 2
M. Ildiz,CDM,66,Austria,Gaziantepspor,Super Lig
M. Ildız,CM; CDM,62,Austria,Gaziantepspor,Super Lig
M. Ilenič,RB,61,Slovenia,New York City,Major League Soccer
M. Iliadis,GK,56,Greece,US Salernitana 1919,Serie B
M. Ilic,GK,67,Serbia,KV Kortrijk,Jupiler Pro League
M. Iliman,RM,57,Turkey,Yukatel Kayserispor,Super Lig
M. Ilić,GK,69,Serbia,Kortrijk,Jupiler Pro League
M. Iloski,ST,60,United States,Real Salt Lake,Major League Soccer
M. Iminqari,RW; CM; LW,56,China PR,Chengdu Qianbao,Super League
M. Imperiale,LB,54,Italy,Empoli,Serie B
M. Inainfe,CB; RB,62,Nigeria,İstanbulspor,Super Lig
M. Ingebrigtsen,RM; LM,61,Norway,Tromsø IL,Eliteserien
M. Ingham,GK,56,Northern Ireland,York City,League Two
M. Ingram,GK,57,England,Wycombe Wanderers,League Two
M. Ingvartsen,RW,51,Denmark,FC Nordsjælland,Superliga
M. Inoha,CB; RB; CDM,70,Japan,Vissel Kobe,J-League
M. Inostros,CDM,69,Chile,San Luis de Quillota,Primera Division
M. Insaurralde,CAM,59,Argentina,San Lorenzo de Almagro,Liga Profesional
M. Iori,CM; CDM,68,Italy,Cittadella,Serie B
M. Irigoyemborde,CM; LB,58,France,AS Béziers,Ligue 2
M. Irshad,CB,54,India,NorthEast United FC,Super League
M. Isager,CDM,53,Denmark,Horsens,Superliga
M. Isah,RW,54,Nigeria,Randers,Superliga
M. Isais,RW,58,United States,León,Liga MX
M. Isaza,CM,51,Colombia,Atlético Huila,Liga BetPlay
M. Ishak,ST,63,Sweden,Randers FC,Superliga
M. Ishida,ST,63,Japan,Gangwon,K League 1
M. Isla,RM; RWB,76,Chile,Queens Park Rangers,Premier League
M. Ito,CB; RB,56,Japan,Yokohama F. Marinos,J-League
M. Iturra,CDM; CM,78,Chile,Granada CF,La Liga
M. Ivana,LM; RM; ST,64,Slovakia,SV Darmstadt 98,2. Bundesliga
M. Ivanov,GK,61,Bulgaria,AFC Eskilstuna,Allsvenskan
M. Ivanovski,ST,62,North Macedonia,FC Dinamo 1948 Bucureşti,Liga 1
M. Ivančević,CB,62,Serbia,Odense Boldklub,Superliga
M. Iversen,GK,50,Denmark,Aalborg BK,Superliga
M. Iwański,CAM; CM,62,Poland,Podbeskidzie Bielsko-Biała,Ekstraklasa
M. Izco,CM; CDM,74,Argentina,Chievo Verona,Serie A
M. Izmaylov,RW; LW; CAM,73,Russia,FC Krasnodar,Premier League
M. Işık,CM,60,Turkey,Demir Grup Sivasspor,Super Lig
M. Ižvolt,RM,62,Slovakia,Piast Gliwice,Ekstraklasa
M. Jackson,ST; RW,58,England,Newport County,League Two
M. Jacob,LB,52,England,Hull City,Championship
M. Jacobs,LM; RM; CAM,68,England,Wolverhampton Wanderers,Championship
M. Jacquet,CB,60,Paraguay,Godoy Cruz,Liga Profesional
M. Jadama,CB,59,United States,Colo-Colo,Primera Division
M. Jadue,ST,65,Chile,CD Antofagasta,Primera Division
M. Jaeken,LB,49,Belgium,KVC Westerlo,Jupiler Pro League
M. Jahfali,CB,56,Saudi Arabia,Al Faisaly,Pro League
M. Jahn,CB,54,Sweden,Djurgårdens IF,Allsvenskan
M. Jaime,CB,59,United States,Deportivo Toluca,Liga MX
M. Jajalo,CM; CDM; CAM,69,Croatia,Palermo,Serie A
M. Jakobsen,CB; LB,67,Denmark,Esbjerg fB,Superliga
M. Jakoliš,ST,50,Croatia,Royal Excel Mouscron,Jupiler Pro League
M. Jakubko,ST,66,Slovakia,Amkar Perm,Premier League
M. Jakóbowski,LM,63,Poland,Warta Poznań,Ekstraklasa
M. Jamal,CDM; CM,65,United Arab Emirates,Al Ain FC,Rest of World
M. James,CM,68,England,Leicester City,Premier League
M. Janeczko,ST,55,Poland,Podbeskidzie Bielsko-Biała,Ekstraklasa
M. Janko,ST,73,Austria,Sydney FC,A-League
M. Janković,CAM; RW,66,Montenegro,SPAL,Serie A
M. Jankowski,ST; CF; CAM,67,Poland,Wisła Kraków,Ekstraklasa
M. Janota,CAM; LM; LW; CM,65,Poland,Korona Kielce,Ekstraklasa
M. Jansen,LB; LM,77,Germany,Hamburger SV,Bundesliga
M. Janssen,CB,60,Netherlands,De Graafschap,Eredivisie
M. Janssens,GK,52,Belgium,Waasland-Beveren,Jupiler Pro League
M. Janzer,LM; RM; CAM,61,Germany,1. FC Heidenheim 1846,2. Bundesliga
M. Jaramillo,CB,57,Ecuador,Macará,Liga Pro
M. Jarjué,CB,64,Gambia,Austria Wien,Bundesliga
M. Jarvis,LM; RM,76,England,West Ham United,Premier League
M. Jarzynka,CB; RB,55,Poland,Cracovia,Ekstraklasa
M. Jassem,GK,55,Saudi Arabia,Dhamk,Pro League
M. Jawhar,GK,52,Saudi Arabia,Al Shabab,Pro League
M. Jay,ST,48,England,Exeter City,League Two
M. Jeahze,LB,54,Sweden,Norrköping,Allsvenskan
M. Jean,CDM; CB,61,France,Paris FC,Ligue 2
M. Jean Tahrat,CDM; CB,61,France,Paris FC,Ligue 2
M. Jeannin,GK,56,France,Clermont Foot 63,Ligue 2
M. Jedinák,CDM; CM,76,Australia,Crystal Palace,Premier League
M. Jedlička,GK,70,Czech Republic,Viktoria Plzeň,Fortuna Liga
M. Jelavic,ST,57,Croatia,Åtvidaberg,Allsvenskan
M. Jelavić,ST,58,Croatia,Åtvidabergs FF,Allsvenskan
M. Jelic,ST,66,Croatia,SK Rapid Wien,Bundesliga
M. Jelić,ST,66,Croatia,SK Rapid Wien,Bundesliga
M. Jensen,LW; ST,57,Denmark,FC Nordsjælland,Superliga
M. Jenz,CB,54,Germany,Fulham,Premier League
M. Jespersen,CM; LM,58,Denmark,AC Horsens,Superliga
M. Jessen,CAM; RM,60,Denmark,Hobro IK,Superliga
M. Jevtovic,LW,58,Serbia,FK Bodø/Glimt,Eliteserien
M. Jevtović,LW; RW,68,Serbia,Rosenborg BK,Eliteserien
M. Jimañez,ST; CAM; LM,73,Chile,Unión Española,Primera Division
M. Jiménez,GK,63,Chile,CD Huachipato,Primera Division
M. Jobe,CB,52,England,Cambridge United,League One
M. Johannsen,LWB,53,Denmark,FC Helsingør,Superliga
M. Johansen,CB,55,Denmark,Brøndby IF,Superliga
M. Johansson,CB,52,Sweden,Halmstads BK,Allsvenskan
M. Johansson Zanjachi,RB,54,Sweden,IFK Göteborg,Allsvenskan
M. John,CAM; CM,58,Germany,TSG Hoffenheim,Bundesliga
M. Johnen,GK,58,Germany,Bayer 04 Leverkusen,Bundesliga
M. Johnsen,CAM; ST,56,Norway,Rosenborg,Eliteserien
M. Johnson,LM; RM,59,England,Motherwell,Premiership
M. Johnston,LM,54,Scotland,Celtic,Premiership
M. Johnstone,GK,57,England,Sunderland,League One
M. Jojić,CM; CAM; LM,75,Serbia,Borussia Dortmund,Bundesliga
M. Jonathans,RW; CAM,58,Netherlands,Vitesse,Eredivisie
M. Jonckheere,CAM,61,Belgium,KV Oostende,Jupiler Pro League
M. Jonda,CM,51,Poland,Piast Gliwice,Ekstraklasa
M. Jones,CAM; RM,64,Uruguay,La Equidad,Liga BetPlay
M. Jones-Thomas,RM; LM,48,Wales,Swansea City,Championship
M. Jonjić,CB,58,Croatia,Incheon United FC,K League 1
M. Jonsson,CB; RB,62,Sweden,SK Brann,Eliteserien
M. Jordan,ST,62,Croatia,Latina,Serie B
M. Jorquera,LM; LB,64,Chile,Deportes Iquique,Primera Division
M. Jovanović,CB; RB,65,Serbia,Wisła Kraków,Ekstraklasa
M. Jovicic,CB,62,Serbia,Ried,Bundesliga
M. Juarez,CDM,52,Argentina,Club Atlético Huracán,Liga Profesional
M. Judd,RB,46,England,Leyton Orient,League Two
M. Juel Andersen,CB,50,Denmark,Brøndby IF,Superliga
M. Juhar,ST; RM; LM; CDM,62,Slovakia,Bruk-Bet Termalica Nieciecza,Ekstraklasa
M. Juhár,LM; ST,63,Slovakia,Nieciecza,Ekstraklasa
M. Julio,CDM,62,Colombia,Atlético Tucumán,Liga Profesional
M. Junglas,CM; CAM; RM; CDM,64,Germany,VfR Aalen,2. Bundesliga
M. Jurdík,ST,64,Czech Republic,WSG Tirol,Bundesliga
M. Jurman,CB; LB,59,Australia,Sydney FC,A-League
M. Jurásek,LM; RM,63,Czech Republic,Slavia Praha,Fortuna Liga
M. Jurčević,LB; LM,66,Slovenia,,
M. Justesen,CB,64,Denmark,Hobro IK,Superliga
M. Jutrić,CB,61,Austria,Academica Clinceni,Liga 1
M. Juwara,ST,59,Gambia,Bologna,Serie A
M. Juárez,CDM,57,Argentina,Huracán,Liga Profesional
M. Jørgensen,CB,69,Denmark,F.C. København,Superliga
M. Kaalund,CM; CAM,57,Denmark,Silkeborg IF,Superliga
M. Kaasa,CM,52,Norway,Odds BK,Eliteserien
M. Kaastrup,LM,53,Denmark,AGF,Superliga
M. Kaba,CM,59,France,Valenciennes,Ligue 2
M. Kabasakal,CM; CDM; CAM,61,Turkey,Trabzonspor,Super Lig
M. Kablan,GK,55,Turkey,Fatih Karagümrük,Super Lig
M. Kaboré,ST,59,Burkina Faso,FC Metz,Ligue 2
M. Kaczmarek,CAM,53,Poland,Raków Częstochowa,Ekstraklasa
M. Kadi,ST,54,France,Football Bourg En Bresse Peronnas 01,Ligue 2
M. Kadiri,CB; CDM,66,Ghana,Dynamo Kyiv,Rest of World
M. Kadlec,LB; CB,74,Czech Republic,Fenerbahçe SK,Super Lig
M. Kafari,CM,49,Ghana,Sporting Kansas City,Major League Soccer
M. Kaffenberger,CDM; CB,55,Germany,FSV Frankfurt,2. Bundesliga
M. Kahraba,CAM; CF,64,Egypt,Grasshopper Club Zürich,Super League
M. Kahrıman,ST,58,Turkey,İstanbul Başakşehir FK,Super Lig
M. Kakuda,CB; CDM,63,Japan,Shimizu S-Pulse,J-League
M. Kaligian,GK,50,Australia,Melbourne City FC,A-League
M. Kalkowski,CB,63,Poland,Górnik Łęczna,Ekstraklasa
M. Kallesøe,RM,52,Denmark,Randers FC,Superliga
M. Kamara,CDM; CM,70,Sierra Leone,Bolton Wanderers,Championship
M. Kamekawa,LB,60,Japan,Avispa Fukuoka,J-League
M. Kamenz,GK,56,Germany,FSV Zwickau,3. Liga
M. Kamin,CM,57,France,Évian Thonon Gaillard FC,Ligue 2
M. Kamissoko,CB,55,France,FC Lorient,Ligue 2
M. Kamiński,CB,66,Poland,Lech Poznań,Ekstraklasa
M. Kana,CDM; CB,59,Belgium,Anderlecht,Jupiler Pro League
M. Kanabah,LM,52,Saudi Arabia,Al Ahli,Pro League
M. Kanazaki,ST; CAM,69,Japan,Kashima Antlers,J-League
M. Kandji,LW; RW; ST,63,Senegal,Al Faisaly,Pro League
M. Kanno,CAM; CDM,67,Saudi Arabia,Ettifaq FC,Pro League
M. Kanoute,LW; RW,63,Senegal,Benevento,Serie A
M. Kantarovski,CM,48,Australia,Newcastle Jets,A-League
M. Kanté,CM; CDM,58,France,RC Strasbourg Alsace,Ligue 2
M. Kanunnikov,LW; RW; ST,67,Russia,Rubin Kazan,Premier League
M. Kané,CB,57,Senegal,FC Metz,Ligue 2
M. Kapo,CDM; CM,62,France,Paris Saint Germain,Ligue 1
M. Kaput,CDM; CM,62,Poland,Radomiak Radom,Ekstraklasa
M. Kapı,CM,58,Turkey,Galatasaray,Super Lig
M. Karaahmet,ST,55,Turkey,Karlsruher SC,3. Liga
M. Karagöz,CM; CDM,57,Turkey,Ümraniyespor,Super Lig
M. Karamarko,CB,62,Croatia,Hartberg,Bundesliga
M. Karamoko,ST,64,France,VfL Wolfsburg,Bundesliga
M. Karbownik,CM; CDM,51,Poland,Legia Warszawa,Ekstraklasa
M. Karbstein,CB,60,Germany,FC Energie Cottbus,3. Liga
M. Karl,CDM; CM,70,Germany,1. FC Kaiserslautern,2. Bundesliga
M. Karlsbakk,CM,52,Norway,Aalesund,Eliteserien
M. Karlsen,ST,64,Norway,Ranheim Fotball,Eliteserien
M. Karlsson,CB,61,Sweden,Åtvidabergs FF,Allsvenskan
M. Karner,CB,62,Austria,SV Grödig,Bundesliga
M. Karpov,CB,60,Russia,Zenit St. Petersburg,Premier League
M. Karpuz,RB,56,Turkey,Fortuna Düsseldorf,2. Bundesliga
M. Karwot,LB,53,Germany,Górnik Zabrze,Ekstraklasa
M. Karymov,CB,59,Russia,FC Tom Tomsk,Premier League
M. Kastrati,RB,52,Switzerland,Grasshopper,Super League
M. Katanec,CB,55,Croatia,Spezia,Serie B
M. Kato,LM; RM; CM,60,Japan,Albirex Niigata,J-League
M. Katona,CM; RB,63,Hungary,Ferencváros,NB I.
M. Katsvairo,ST; RW,61,Zimbabwe,Kaizer Chiefs,Premier League
M. Katzer,LB; CB,62,Austria,FC Flyeralarm Admira,Bundesliga
M. Kaufmann,ST,52,Denmark,Aalborg BK,Superliga
M. Kavdanski,CB,55,Bulgaria,Clermont Foot 63,Ligue 2
M. Kayaroglu,CF; CAM,53,Germany,SpVgg Greuther Fürth,2. Bundesliga
M. Kaye,CM; CDM; RM,60,Canada,,
M. Kazankov,RM,63,Turkmenistan,SKA Khabarovsk,Premier League
M. Kaçar,LM,58,Turkey,Antalyaspor,Super Lig
M. Kaït,CAM,53,Estonia,Fulham,Championship
M. Kałahur,RB,54,Poland,Lechia Gdańsk,Ekstraklasa
M. Kašćelan,CDM; RB,63,Montenegro,Arsenal Tula,Premier League
M. Kean,ST,62,Italy,Juventus,Serie A
M. Keane,CB; RB,65,England,Manchester United,Premier League
